Id	Confirmed At	Confirmation Sent At	Unconfirmed Email	Role	Nick Name	Image Uid	Temple	Is Female	Birth Year	Prefecture Code	Created At	Updated At	Likes Count	Answers Count	Email Receivable	Position	Profile	Twitter Name	Blog Url	Introduction	Profile Title	Last Answered At	Premium Expire On	Problem	Prefecture Acl Code	Profile Acl Code	Problem Acl Code	Is Resigned	Mail Daily	Mail Frequency
30628	2017-01-30 21:19:32 +0900	2017-01-30 21:19:18 +0900			ニコ			TRUE	1987	41	2017-01-30 21:19:18 +0900	2017-01-30 21:26:10 +0900	0	0	TRUE		"一人っ子です。
高校生の時に、母が他界
現在父は単身赴任中で
父方の祖父母の家の近くに
夫と子供と暮らしています。
母方の祖父母はどちらとも
ここ3年以内で他界し、
その他の親戚の方とは年に2回程度しか
会わない程度です。"					1970-01-01 00:00:00 +0900			0	0	0	FALSE	TRUE	daily
30627	2017-01-30 21:17:06 +0900	2017-01-30 21:16:49 +0900			にゃーご			TRUE	1989	3	2017-01-30 21:16:49 +0900	2017-08-08 22:02:34 +0900	0	0	FALSE		"父母姉弟の5人家族。
今は実家を出て長く付き合ってる彼と同棲中。
結婚を考えてはいますが、そんな気配もまだ無いので
20代のうちに色々楽しんでおきたくて、男女問わず出会いを大事にしてます。"					1970-01-01 00:00:00 +0900		5歳上の後輩との接し方がわからない。	0	0	0	FALSE	TRUE	daily
30625	2017-01-30 20:20:49 +0900	2017-01-30 20:20:36 +0900			愛子			TRUE			2017-01-30 20:20:36 +0900	2017-01-30 20:20:49 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30624	2017-01-30 20:11:22 +0900	2017-01-30 20:11:06 +0900			70			TRUE	1987	29	2017-01-30 20:11:06 +0900	2017-04-30 19:46:10 +0900	0	0	TRUE		"某企業 総合職社員。

父(67)・母(70)・私(29)・妹(28)の、4人家族。
もともと、家族仲は良く、母・妹とは3人で月に2回ほど買い物に出かけ、月1度は必ず4人で外食をする。

周りからは、明るい、しっかり者、好奇心旺盛で行動力がある、男の子みたいな性格、と言われる。"					1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30623	2017-01-30 20:05:31 +0900	2017-01-30 20:05:13 +0900			さくら			TRUE	1995	1	2017-01-30 20:05:13 +0900	2017-01-30 20:06:06 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30622		2017-01-30 16:54:41 +0900			カンプノウ			FALSE			2017-01-30 16:54:41 +0900	2017-01-30 16:54:41 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30621	2017-01-30 16:53:49 +0900			user	だい			FALSE	1980	99	2017-01-30 16:53:49 +0900	2017-01-30 17:04:58 +0900	0	0	FALSE		"職業：タイ(東南アジア）にて日本から派遣されて駐在員を3年間、退職後、4年間自営業をしています。
そこそこお客さんが来てくれており、仕事や収入への心配はありませんが、日本人の友人が居らず人恋しい状況です。
駐在員時代の友人も全員帰国してしまったこと、お客さんとは友人関係になりにくい状況はあります。

家族構成：1年前に最終的にはタイ人妻の浮気で離婚済み、飼猫2匹、実家に両親がおりますが実母は病気のため長くなさそうです。

性格：頑固、自分の意見をなかなか変えない、自論を主張し過ぎて不快な思いをさせる時もある。"					1970-01-01 00:00:00 +0900		性格に関連しますが、頑固で自論を主張しすぎてしまう事があります。最近はこの性格のために、現状になってしまったと思っています。	0	0	1	FALSE	TRUE	daily
30619	2017-01-30 16:41:02 +0900	2017-01-30 16:40:40 +0900			みみこ			TRUE	1994	45	2017-01-30 16:40:40 +0900	2017-01-30 19:30:21 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30618	2017-01-30 13:20:01 +0900	2017-01-30 13:19:26 +0900			はな			TRUE	1984	13	2017-01-30 13:19:26 +0900	2017-09-17 00:55:29 +0900	0	0	FALSE							1970-01-01 00:00:00 +0900			0	0	0	FALSE	TRUE	daily
30617		2017-01-30 13:10:40 +0900			まる			TRUE			2017-01-30 13:10:40 +0900	2017-01-30 13:10:40 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30616	2017-01-30 13:09:10 +0900	2017-01-30 13:08:39 +0900			turai			TRUE	1968	11	2017-01-30 13:08:39 +0900	2017-01-30 13:11:08 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			0	0	0	FALSE	TRUE	daily
30615	2017-01-30 13:06:41 +0900	2017-01-30 13:06:23 +0900			ミー			TRUE	1990	8	2017-01-30 13:06:23 +0900	2017-04-07 16:54:49 +0900	0	0	FALSE		"パソコン関係の仕事
子供のころから父親が黙って莫大な借金
をくりかえす。仕事も相談せずやめる
母親は持病の関係で仕事ができない
自分はもうすぐ30歳
まわりに言われても父親の影響で結婚が考えられない
男性との交友関係は一定の距離をおきたい
仕事がパソコン関係で男性が主体のため、男性に囲まれたりすることが物理的に嫌なのに、自分が好きなことがパソコンだったせいで勉強してきたのはこればかり
嫌いな人の話を受け入れることがなかなかできない
好きと嫌いの境が極端
一度嫌いになったら一生付き合いたくなくなってしまう"					1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30614	2017-01-30 11:57:59 +0900			user	おいもさん			TRUE	1993	40	2017-01-30 11:57:59 +0900	2017-01-30 11:58:45 +0900	0	0	FALSE							1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30613	2017-01-30 11:48:29 +0900			user	のん			TRUE	1988	10	2017-01-30 11:48:29 +0900	2017-01-30 11:49:31 +0900	0	0	FALSE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30612	2017-01-30 10:27:51 +0900	2017-01-30 10:24:38 +0900			K さん			TRUE	1975	36	2017-01-30 10:24:38 +0900	2017-02-08 16:31:02 +0900	0	0	TRUE		主婦。夫、長男17歳高校2年。中3長女、小6次女、4歳次男					1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30611	2017-01-30 09:34:03 +0900	2017-01-30 09:28:52 +0900			珠姫			TRUE	1960	27	2017-01-30 09:28:52 +0900	2017-01-30 09:41:29 +0900	0	0	TRUE		元公務員。８６歳の母と４９歳の主人の３人家族。子供はいないので家は私の代で潰えてしまう。性格は完璧主義の神経質。神経症持ち。二人を見送って自分は直葬、お墓にぶちこんで貰うのが将来の希望。それまでは浮いた浮いたで楽しく暮らしたい。					1970-01-01 00:00:00 +0900		自分の信心することから離れられない	0	0	0	FALSE	TRUE	daily
30610	2017-01-30 08:19:56 +0900	2017-01-30 08:19:26 +0900			ゆう			TRUE	1982	23	2017-01-30 08:19:26 +0900	2017-05-06 07:52:49 +0900	0	0	TRUE		現在育児休暇中の看護師です。実母、夫、5人の可愛い子ども達と生活しています。曲がったことが大嫌いで、白黒付けないと気がすまない所があります。					1970-01-01 00:00:00 +0900		自分の意見が理解されないと怒れる	0	0	0	FALSE	TRUE	daily
30609	2017-01-29 22:16:50 +0900	2017-01-29 22:16:24 +0900			ともちゃん			TRUE	1970	13	2017-01-29 22:16:24 +0900	2017-06-04 07:40:47 +0900	0	0	TRUE		"母、娘、愛犬2匹、愛猫4匹と暮らしております。息子もおりますが、離婚した元旦那のもとにいます。
つらい時こそ笑顔でいること、相手の身になって考えていけるよう努力しています。"					1970-01-01 00:00:00 +0900		足りないところばかりと思い、自分を責めてしまう。	0	0	0	FALSE	TRUE	daily
30608	2017-01-29 22:17:13 +0900	2017-01-29 22:15:26 +0900			さっく			TRUE	1983	28	2017-01-29 22:15:26 +0900	2017-01-29 22:17:49 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30607	2017-01-29 20:16:49 +0900	2017-01-29 20:16:34 +0900			きの			FALSE	1991	28	2017-01-29 20:16:34 +0900	2017-01-29 20:22:41 +0900	0	0	FALSE		"父母と同居で犬が２匹
弟は北海道

現在、会社員として営業の仕事をしています。

基本、なにかを考えているようでなにも考えてない性格です。

最近は、やりたいこと、楽しいことがわからなくなってきています。
"					1970-01-01 00:00:00 +0900		"欲望に従順

他人の嫌なところが見えたらその人には頼りたくない

他人の成功に嫉妬し、嫉妬している自分が嫌になる"	0	0	0	FALSE	TRUE	daily
30606		2017-01-29 20:16:15 +0900			るい			TRUE			2017-01-29 20:16:15 +0900	2017-01-29 20:16:15 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30605		2017-01-29 19:38:24 +0900			三日月			TRUE			2017-01-29 19:38:24 +0900	2017-01-29 19:38:24 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30601	2017-01-29 18:36:42 +0900	2017-01-29 18:35:51 +0900			リオ			TRUE			2017-01-29 18:35:51 +0900	2017-06-25 20:14:13 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30600	2017-01-29 18:09:11 +0900			user	ムラサキ			TRUE	1984	4	2017-01-29 18:09:11 +0900	2017-01-29 18:12:29 +0900	0	0	TRUE		"職業…福祉関係
性格…人見知り・自分に自信がない
"					1970-01-01 00:00:00 +0900		物事をネガティブにとらえてしまう	0	0	0	FALSE	TRUE	daily
30599	2017-01-29 17:16:13 +0900			user	桜子			TRUE	1997	12	2017-01-29 17:16:13 +0900	2017-01-29 17:37:42 +0900	0	0	TRUE		"父方の祖父母
父
(母→私が二歳の頃に離婚)
兄
私

の5人で生活しております。"					1970-01-01 00:00:00 +0900		"自分に甘い
無気力
強い諦め癖
したい事≠努力できる事である事がしばしば
死ぬ勇気はないが、死ぬ事に希望を見ている"	0	0	1	FALSE	TRUE	daily
30598	2017-01-29 17:09:29 +0900	2017-01-29 16:16:19 +0900			namazu			TRUE			2017-01-29 16:16:19 +0900	2017-01-29 17:09:29 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30597	2017-01-29 16:13:56 +0900	2017-01-29 16:13:42 +0900			田端			TRUE			2017-01-29 16:13:42 +0900	2017-01-29 16:13:56 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30596	2017-01-29 15:43:14 +0900			user	そのこ			TRUE	1972	11	2017-01-29 15:43:14 +0900	2017-01-29 16:08:22 +0900	0	0	TRUE		"夫42歳（海外赴任6年目、月１度帰宅）、妻44歳（私、離婚歴あり）、長男15歳（私の連れ子、現夫と血縁がないのは周知済）、長女（7歳、現夫との実子）

夫の父は３年前他界、帰国できなかった夫の代わりに死に際に立ち会う。夫母、無神経な気質で自分は不幸である事をいつも口にしており、人を羨む。夫兄、自営だった父の会社の取締役時代は良かったが、会社破産し定職に就かなくなる。妻とは離婚。"					1970-01-01 00:00:00 +0900		暴君な夫	0	0	1	FALSE	TRUE	daily
30595	2017-01-29 14:26:35 +0900	2017-01-29 14:26:19 +0900			結衣			TRUE			2017-01-29 14:26:19 +0900	2017-01-29 14:26:35 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30594	2017-01-29 14:16:12 +0900	2017-01-29 14:15:00 +0900			GONTA			FALSE	1958	12	2017-01-29 14:15:00 +0900	2017-01-29 14:17:51 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30593	2017-01-29 12:12:57 +0900	2017-01-29 12:08:42 +0900			chanta			FALSE			2017-01-29 12:08:42 +0900	2017-01-29 12:12:57 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30592	2017-01-29 12:05:13 +0900	2017-01-29 12:04:52 +0900			小僧寿し			FALSE	1984	13	2017-01-29 12:04:52 +0900	2017-01-30 00:40:13 +0900	0	0	TRUE		"東京生まれ東京育ち病院勤務です。
決めたことがあっても目先の不安や安心で決めたことを実行する気持ちがブレてしまいます。
少しでも不安材料があるとどんどん不安が膨らんでいってしまいます。
目先のことに惑わされず、決めたことにまっすぐ進む自分になりたいと思っています。"					1970-01-01 00:00:00 +0900		少しのことですぐ不安になってしまう	1	0	1	FALSE	TRUE	daily
30591	2017-01-29 11:17:04 +0900	2017-01-29 11:16:50 +0900			ゆいぽにょ			TRUE	1989	27	2017-01-29 11:16:50 +0900	2017-01-29 11:17:42 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30590	2017-01-29 09:52:20 +0900	2017-01-29 09:52:04 +0900			まじゅ			TRUE	1987	12	2017-01-29 09:52:04 +0900	2017-03-05 23:03:33 +0900	0	0	TRUE		"市役所職員です。
よく言えばいつもニコニコ、悪く言えばヘラヘラしています。
大らかで気にしなそうに見えますが、実は神経質で心配性、ピンチにものすごく弱いです。
人に喜んでもらうこと、身体を動かすことが好きで、緻密にやること、期日や時間を守ることが苦手です。たまにはしゃぎすぎて後悔します。
最近ふとわたしはやさしいのかもしれないと気がつきましたが、それ故に損をしたりおもしろくない思いをしたりしているのでやさしいよりお人好しという感じだと思います。
何をしても面白おかしくしたくなるので、友人からは「自分の幸せに関心がない」「愛されたいという女の子の打算がなくて心配」と言われております。"					1970-01-01 00:00:00 +0900		自信がありません。できることを精いっぱい楽しくやっていましたが、最近は加えて年相応の行動ができていなくてしょんぼりしています。そしてできないならできるまでやればいいだけだと自分を追い込んでしまいます。	0	0	0	FALSE	TRUE	daily
30589	2017-01-29 09:51:50 +0900			user	カピバラ			TRUE	1968	14	2017-01-29 09:51:50 +0900	2017-01-29 09:56:04 +0900	0	0	TRUE		"40代の一度結婚したことのある女性です。
父も母ももうなくなっており父の貯金で日々暮らしています。精神障害（でも重くない）で
就労支援B型というところにかよってます。相談相手はあまりいません



"					1970-01-01 00:00:00 +0900		ネットの買い物がやめらえない	0	0	0	FALSE	TRUE	daily
30588	2017-01-29 08:59:23 +0900			user	名アツ前未設定			FALSE	1997	13	2017-01-29 08:59:23 +0900	2017-01-29 09:07:44 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30587	2017-01-29 06:56:36 +0900	2017-01-29 06:56:17 +0900			空雅			TRUE	1980	13	2017-01-29 06:56:17 +0900	2017-01-29 06:57:16 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30586		2017-01-29 06:54:45 +0900			空雅			TRUE			2017-01-29 06:54:45 +0900	2017-01-29 06:54:45 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30583	2017-01-29 04:47:57 +0900	2017-01-29 04:44:09 +0900			ラツィオ			FALSE	1997	5	2017-01-29 04:44:09 +0900	2017-01-29 04:48:38 +0900	0	0	FALSE							1970-01-01 00:00:00 +0900			0	0	0	FALSE	TRUE	daily
30582	2017-01-29 03:06:38 +0900	2017-01-29 03:05:10 +0900			かるかん			TRUE	1995	40	2017-01-29 03:05:10 +0900	2017-01-29 03:07:13 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			0	0	0	FALSE	TRUE	daily
30581	2017-01-29 02:44:27 +0900	2017-01-29 02:43:51 +0900			けんぞう			FALSE	1979	26	2017-01-29 02:43:51 +0900	2017-07-09 02:28:03 +0900	0	0	TRUE		"会社員　
妻と娘（６歳　今年小学生になります）
すけべな僕です。"					1970-01-01 00:00:00 +0900		とてもとても、女の人のお尻姿が大好きです	1	0	1	FALSE	TRUE	daily
30580	2017-01-29 02:28:11 +0900	2017-01-29 02:27:39 +0900			maru			TRUE	1995	8	2017-01-29 02:27:39 +0900	2017-01-31 14:55:44 +0900	0	0	FALSE		"現在女子大生で今年の春から就活生です。
一人っ子で小さいときから家族で過ごすことが多く、自分自身その時間を心地よく思います。
周りを気にする性格かなと思います。
"					1970-01-01 00:00:00 +0900		煩悩とは違うかもしれませんが、周りを見過ぎる性格に、よく苦しめられてる気がします。	0	0	0	FALSE	TRUE	daily
30579	2017-01-28 23:58:57 +0900	2017-01-28 23:58:44 +0900			あまね			TRUE	1995	28	2017-01-28 23:58:44 +0900	2017-01-31 04:21:35 +0900	0	0	TRUE		大学生/大学の通学の関係で祖父母の家に居候/前向きになりたいです					1970-01-01 00:00:00 +0900		学歴、容姿、家庭環境、	0	0	0	FALSE	TRUE	daily
30578	2017-01-28 23:53:35 +0900	2017-01-28 23:52:50 +0900			ククル			TRUE	2003	28	2017-01-28 23:52:50 +0900	2017-01-29 00:00:02 +0900	0	0	FALSE		"職業    中学生
家族構成   母、祖母
性格   マイペース
将来の夢   医者"					1970-01-01 00:00:00 +0900		生まれつき足に障害があるので、自由に走ったりしている姿を見ると、嫉妬してしまう事がたまにある	0	0	0	FALSE	TRUE	daily
30577	2017-01-28 23:41:21 +0900	2017-01-28 23:41:03 +0900			かえちゃん			TRUE			2017-01-28 23:41:03 +0900	2017-01-28 23:41:21 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30576	2017-01-28 22:09:08 +0900	2017-01-28 22:08:58 +0900			ららら			TRUE	1996	15	2017-01-28 22:08:58 +0900	2017-03-29 14:34:41 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30575	2017-01-28 21:07:48 +0900			user	御神輿			FALSE	1988	14	2017-01-28 21:07:48 +0900	2017-01-28 22:20:04 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30574	2017-01-28 21:06:36 +0900	2017-01-28 21:06:19 +0900			なの			TRUE	1974	23	2017-01-28 21:06:19 +0900	2017-03-02 21:05:47 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30573	2017-01-28 20:47:46 +0900	2017-01-28 20:47:11 +0900			きよかず			FALSE			2017-01-28 20:47:11 +0900	2017-01-28 20:47:46 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30572	2017-01-28 20:38:46 +0900	2017-01-28 20:38:32 +0900			ウレカ			TRUE	1998	20	2017-01-28 20:38:32 +0900	2017-01-29 21:58:03 +0900	0	0	TRUE		高校生です。私はどうしたらいいのかわかりません					1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30571	2017-01-28 20:37:34 +0900			user	名前未設定			TRUE			2017-01-28 20:37:34 +0900	2017-01-28 20:37:34 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30570	2017-01-28 19:20:41 +0900	2017-01-28 19:20:02 +0900			マコト			FALSE	1988	6	2017-01-28 19:20:02 +0900	2017-02-21 10:03:34 +0900	0	0	TRUE		なにもありません。					1970-01-01 00:00:00 +0900			0	0	0	FALSE	TRUE	daily
30569	2017-01-28 18:47:12 +0900	2017-01-28 18:47:00 +0900			あいこ			TRUE	1993	13	2017-01-28 18:47:00 +0900	2017-01-29 19:38:05 +0900	0	0	TRUE		"IT系の新人技術者です。
大学では宗教学、民俗学、民族音楽学など、文化に関わる分野を勉強してました。
小学生くらいから結構なオタクでした。
仕事一筋ではなく、趣味と両立させた人生を送りたいです。"					1970-01-01 00:00:00 +0900		見栄っ張り、あんまり努力したくない怠けたがり、口が悪い(口には出さないが心の中で罵倒する)、妄想癖が強い	0	0	0	FALSE	TRUE	daily
30568	2017-01-28 15:52:09 +0900	2017-01-28 15:51:29 +0900			十月			TRUE			2017-01-28 15:51:29 +0900	2017-01-28 15:52:09 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30567	2017-01-28 12:38:39 +0900			user	ひろ			TRUE	1974	13	2017-01-28 12:38:39 +0900	2017-07-08 19:43:29 +0900	0	0	TRUE		"主人が自死。知り22年、結婚10年目。子供なし。
私自身18年働いていた銀行を昨9月変形性頚椎症に伴う体調不良で退職。
リハビリとその後の転職活動中でしたが、全てのやる気を失せています。
3年前主人のアルコール依存性で入院、彼の自覚する迄の1年は辛い日々。でも頑張ってバイト始め、飲むのも週1.2まで減。でも合わずに辞め、隠れてまた飲酒も増え、見て入られず、自分も体調辛く退職、それでも働かない彼と離婚に向け別居中。そんな中考え直してほしいと話があり、バイトも開始したと、微笑ましく思っていたところ。それがいきなり彼の実家で首を吊って発見。世の中には、更にツラい事があり、それは永遠に続く"					1970-01-01 00:00:00 +0900		"離婚の話しで、目覚めてくれると思っていた。願っていた。
私が仕事辞めたら、仕事頑張ってくれると思ってた。
もう彼のアルコール依存性の病気は治ったもんと思っていた。
勝手な思い込み"	0	0	0	FALSE	TRUE	daily
30566	2017-01-28 09:38:16 +0900	2017-01-28 09:37:54 +0900			そら			TRUE			2017-01-28 09:37:54 +0900	2017-01-28 09:48:18 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30565	2017-01-28 07:15:29 +0900	2017-01-28 07:15:13 +0900			もものは			TRUE	1975	11	2017-01-28 07:15:13 +0900	2017-02-11 18:23:12 +0900	0	0	TRUE		"パート主婦

夫 小学生の子供二人と暮らしています。

自身は一人っ子で、父と離別、音信不通

遠方に住む母のみ 母は近くに叔父夫婦がすんでいます。
母は仕事を続けていたため、経済的には自立しています。

小さな頃から、日中は祖父母に育てられました。父は仕事をしなかったため、母とは私が産まれてすぐ離婚したと聞いています。お見合い結婚で、母は嫌々結婚して私が産まれたそうです。精神的にも薄弱な父だったようです。

父の記憶は全くなく、自分の底辺には何をしても安心できないコンプレックスがあるように思います。
"					1970-01-01 00:00:00 +0900		いつも自分の選択を後悔し、自分を責めてしまいます。	0	0	0	FALSE	TRUE	daily
30562	2017-01-27 23:13:08 +0900	2017-01-27 23:12:30 +0900			soramame			TRUE	1968	13	2017-01-27 23:12:30 +0900	2017-07-20 01:10:35 +0900	0	0	TRUE		介護福祉士です。本職は画家ですが、最近は全く絵を描いていないです。					1970-01-01 00:00:00 +0900		不思議な事がおこる。	0	0	0	FALSE	TRUE	daily
30561	2017-01-27 22:13:18 +0900	2017-01-27 22:12:40 +0900			ぽこ			TRUE	1991	24	2017-01-27 22:12:40 +0900	2017-03-30 21:05:18 +0900	0	0	TRUE		"結婚のため退職し専業主婦
2016年11月入籍
性格は頭の中で常に考えてしまう。

直感にしたがって生きたい。
と思っているが、学生時代に直感のみで行動し、薄っぺらな人間関係しか築けなかったので、考えて行動した方がいいと思い、行動を制限したところ、生き辛いです。
今の旦那も理性的に選びました。　
結婚したが、今後も自分制限し続けると思うと苦しい。"					1970-01-01 00:00:00 +0900		"他人が自由に生きていることに嫉妬してしまう。
自分らしく生きるたいと思っている。"	0	0	0	FALSE	TRUE	daily
30560	2017-01-27 21:55:04 +0900	2017-01-27 21:54:34 +0900			まいぴー			TRUE			2017-01-27 21:54:34 +0900	2017-01-27 21:55:04 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30559	2017-01-27 21:29:25 +0900			user	ちどり			TRUE	1972	11	2017-01-27 21:29:25 +0900	2017-01-27 21:32:23 +0900	0	0	TRUE		"お寺勤めをしています。
人々に愛されるお寺をつくるお手伝いがしたい。"					1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
